Material,Country of Origin,Average kg Co2e per kg material,Emissions (CO2e)
Acrylic,Afghanistan,399297.2744777774,74115594488758.84
Acrylic,Albania,399297.2744777774,21095551927721.42
Acrylic,Algeria,399297.2744777775,1.0001369054042558e+16
Acrylic,American Samoa,399297.2744777774,75609764319785.17
Acrylic,Angola,399297.2744777774,757886443850329.8
Acrylic,Antarctica,399297.2744777774,0.0
Acrylic,Antigua and Barbuda,399297.2744777774,121364288763771.39
Acrylic,Argentina,399297.2744777775,2.28224697248023e+16
Acrylic,Armenia,399297.2744777774,835373472296503.9
Acrylic,Aruba,399297.2744777774,358007769649124.6
Acrylic,Australia,399297.2744777775,1.0098316528731493e+17
Acrylic,Austria,399297.2744777775,4790085447081948.0
Acrylic,Azerbaijan,399297.2744777775,4746781615568368.0
Acrylic,Bahamas,399297.2744777774,831960242907959.5
Acrylic,Bahrain,399297.2744777774,8219514681833529.0
Acrylic,Bangladesh,399297.2744777775,9799486039902966.0
Acrylic,Barbados,399297.2744777774,425790944193979.9
Acrylic,Belarus,399297.2744777775,6752417372540500.0
Acrylic,Belgium,399297.2744777775,7887431953759311.0
Acrylic,Belize,399297.2744777774,14466863323098.457
Acrylic,Benin,399297.2744777774,58254970355986.09
Acrylic,Bermuda,399297.2744777774,289624274843736.7
Acrylic,Bhutan,399297.2744777774,326314245337.6458
Acrylic,Bolivia,399297.2744777774,1600074291766164.5
Acrylic,Bosnia and Herzegovina,399297.2744777774,5141033039301138.0
Acrylic,Botswana,399297.2744777774,773730219468468.6
Acrylic,Brazil,399297.2744777775,2.0315135909561532e+16
Acrylic,British Virgin Islands,399297.2744777774,53642533284901.23
Acrylic,Brunei,399297.2744777774,1316302824822943.0
Acrylic,Bulgaria,399297.2744777775,7656155429030278.0
Acrylic,Burkina Faso,399297.2744777774,248659595921215.34
Acrylic,Burundi,399297.2744777774,10061793584681.145
Acrylic,Cambodia,399297.2744777774,749710866991500.0
Acrylic,Cameroon,399297.2744777774,574759106072669.9
Acrylic,Canada,399297.2744777775,6.7255672357615176e+16
Acrylic,Cayman Islands,399297.2744777774,248628270053791.12
Acrylic,Central African Republic,399297.2744777774,7338131339163.429
Acrylic,Chad,399297.2744777774,73808995892996.56
Acrylic,Chile,399297.2744777775,9485482045544008.0
Acrylic,China,399297.2744777775,1.2569574126248397e+18
Acrylic,Colombia,399297.2744777775,3877166464806355.5
Acrylic,Comoros,399297.2744777774,22322025290399.984
Acrylic,Congo,399297.2744777774,265763406576680.56
Acrylic,Cook Islands,399297.2744777774,12988042278212.572
